domain,registrant
"coagskillstaskforce.gov.au","Department of Industry and Science"
"coat.gov.au","Administrative Appeals Tribunal"
"cockatooisland.gov.au","Sydney Harbour Federation Trust"
"comb.gov.au","Commonwealth Ombudsman"
"comcar.gov.au","Department of Finance"
"comcare.gov.au","Comcare, the Safety, Rehabilitation and Compensation Commission, and the Seafarers' Safety, Rehabilitation and Compensation Authority"
"comcourts.gov.au","Family Court and Federal Circuit Court"
"comcover.gov.au","Department of Finance"
"comlaw.gov.au","Office of Parliamentary Counsel"
"commemoration.gov.au","Department of Veterans' Affairs (DVA)"
"commercialisationaustralia.gov.au","Department of Industry and Science"
"communications.gov.au","Department of Communications"
"community.gov.au","Department of Social Services"
"communitybusinesspartnership.gov.au","Department of Social Services"
"communitycabinet.gov.au","Department of the Prime Minister and Cabinet"
"communitywaterplanner.gov.au","National Health and Medical Research Council (NHMRC)"
"companioncard.gov.au","Department of Social Services"
"competitionpolicyreview.gov.au","Department of the Treasury"
"competitiontribunal.gov.au","Federal Court of Australia"
"complaints.gov.au","Commonwealth Ombudsman"
"comsuper.gov.au",ComSuper
"concussioninsport.gov.au","Australian Sports Commission"
"consulate.gov.au","Department of Foreign Affairs and Trade"
"consumer.gov.au","Department of the Treasury"
"consumerlaw.gov.au","Department of the Treasury"
"contracts.gov.au","Department of Finance"
"copyrighttribunal.gov.au","Federal Court of Australia"
"cpbr.gov.au","Centre for Australian National Biodiversity Research"
"crc.gov.au","Department of Industry and Science"
"crimecommission.gov.au","Australian Crime Commission"
"crimeprevention.gov.au","Attorney-General's Department"
"criminologyresearchcouncil.gov.au","Criminology Research Council"
"crimtrac.gov.au","CrimTrac Agency"
"crimtracportal.gov.au","CrimTrac Agency"
"crsaustralia.gov.au","CRS Australia"
"csa.gov.au","Department of Human Services"
"csanet.gov.au","Department of Human Services"
"csaonline.gov.au","Department of Human Services"
"csc.gov.au","Commonwealth Superannuation Corporation"
"cscri.gov.au","Commonwealth Superannuation Corporation (CSC)"
"csda.gov.au","Department of Human Services"
"csiro.gov.au","Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
"csmac.gov.au","(SA) Health, Community and Disability Services Ministerial Council"
"css.gov.au","Commonwealth Superannuation Corporation"
"culturaldata.gov.au","Attorney-General's Department"
"customs.gov.au","Australian Customs and Border Protection Service"
"cuttingredtape.gov.au","Department of the Prime Minister and Cabinet"
"cybersafetyhelp.gov.au","Department of Communications"
"cybersafetyhelpbutton.gov.au","Department of Communications"
"cybersmart.gov.au","Australian Communications and Media Authority (ACMA)"
"daff.gov.au","Department of Agriculture"
"dan.gov.au","Department of Defence"
"data.gov.au","Department of Finance"
"dbcde.gov.au","Department of Communications"
"ddr.gov.au","Attorney-General's Department"
"deewr.gov.au","Department of Employment"
"defcen.gov.au","Australian Signals Directorate"
"defence.gov.au","Department of Defence"
"defence2020.gov.au","Department of Defence"
"defenceabusetaskforce.gov.au","Attorney-General's Department"
"defenceappeals.gov.au","Federal Court of Australia"
"defence-honours-tribunal.gov.au","Department of Defence"
"defencejobs.gov.au","Defence Force Recruiting"
"defencejobsbroadcasts.gov.au","Defence Force Recruiting"
"defencenews.gov.au","Department of Defence - Public Affairs and Corporate Communication"
"defencereservessupport.gov.au","Department of Defence"
"defenceyouth.gov.au","Department of Defence"
"deh.gov.au","Department of the Environment"
"dentalboard.gov.au","Australian Health Practitioner Regulation Agency (AHPRA)"
"design.gov.au","Department of Industry and Science"
"designs.gov.au","IP Australia"
"destinationaustralia.gov.au","National Archives of Australia"
"dfat.gov.au","Department of Foreign Affairs and Trade"
"dfrdb.gov.au","Commonwealth Superannuation Corporation"
"dfrt.gov.au","Australian Public Service Commission"
"dha.gov.au","Defence Housing Australia"
"dhoas.gov.au","Department of Veterans' Affairs"
"dhs.gov.au","Department of Human Services"
"diac.gov.au","Department of Immigration and Border Protection"
"digitalbusiness.gov.au","Department of Communications"
"digitalready.gov.au","Department of Communications"
"diplomacy.gov.au","Department of Foreign Affairs and Trade"
"directory.gov.au","Department of Finance"
"dis.gov.au","Department of Education and Training"
"disabilitycare.gov.au","National Disability Insurance Agency"
"disabilitycareaustralia.gov.au","National Disability Insurance Agency"
"disasterassist.gov.au","Attorney-General's Department"
"disc.gov.au","Department of Defence"
"dns-ok.gov.au","Australian Communications and Media Authority (ACMA)"
"doctorconnect.gov.au","Department of Health"
"dod.gov.au","Department of Defence"
"doi.gov.au","Department of Infrastructure and Regional Development"
"domainname.gov.au","Department of Finance."
"donatelife.gov.au","Australian Organ and Tissue Donation and Transplantation Authority"
"donorregister.gov.au","Department of Human Services"
"donotcall.gov.au","Australian Communications and Media Authority (ACMA)"
"donotcallregister.gov.au","Australian Communications and Media Authority (ACMA)"
"dot.gov.au","Department of Infrastructure and Regional Development"
"dotars.gov.au","Department of Infrastructure and Regional Development"
"dpm.gov.au","Department of Infrastructure and Regional Development"
"dpmc.gov.au","Department of the Prime Minister and Cabinet"
"dprwg.gov.au","(NSW) Disability Policy and Research Working Group"
"dps.gov.au","Department of Parliamentary Services"
"drinkingnightmare.gov.au","Department of Health"
"dsd.gov.au","Department of Defence"
"dsh.gov.au","Department of Veterans' Affairs"
"dss.gov.au","Department of Social Services"
"dto.gov.au","Digital Transformation Office"
"dva.gov.au","Department of Veterans' Affairs"
"dvs.gov.au","Attorney-General's Department"
"ea.gov.au","Department of the Environment"
"e-airc.gov.au","Fair Work Commission"
"easyclaim.gov.au","Department of Human Services"
"eatforhealth.gov.au","National Health and Medical Research Council (NHMRC)"
"eca.gov.au","Australian Electoral Commission"
"ecanz.gov.au","Australian Electoral Commission"
"ecensus.gov.au","Australian Bureau of Statistics"
"ecsn.gov.au","Department of Employment"
"ecsnaccess.gov.au","Department of Employment"
"edaff.gov.au","Department of Agriculture"
"education.gov.au","Department of Education and Training"
"eesharedservices.gov.au","Department of Employment"
"eex.gov.au","Department of Industry and Science"
"efic.gov.au","Export Finance and Insurance Corporation"
"ehas.gov.au","National E-Health Transition Authority"
"ehealth.gov.au","Department of Health"
"ehealthinfo.gov.au","National E-Health Transition Authority LTD"
"electioncostings.gov.au","Department of Finance"
"elections.gov.au","Australian Electoral Commission"
"em.gov.au","Attorney-General's Department"
"ema.gov.au","Attorney-General's Department"
"embassy.gov.au","Department of Foreign Affairs and Trade"
"emergencyalert.gov.au","(VIC) Department of Justice & Regulation"
"emknowledge.gov.au","Attorney-General's Department"
"employment.gov.au","Department of Employment"
"endeavourvoyages.gov.au","Australian National Maritime Museum"
"energy.gov.au","Department of Industry and Science"
"energyefficiencyopportunities.gov.au","Department of Industry and Science"
"energymadeeasy.gov.au","Australian Competition and Consumer Commission"
"energyrating.gov.au","Department of Industry and Science"
"energysecuritycouncil.gov.au","Department of the Treasury"
"energytargets.gov.au","(VIC) Essential Services Commisison"
"enterpriseconnect.gov.au","Department of Industry and Science"
"environment.gov.au","Department of the Environment"
"e-permanence.gov.au","National Archives of Australia"
"erac.gov.au","(VIC) Energy Safe Victoria"
"erin.gov.au","Department of the Environment"
"esafety.gov.au","Children's e-Safety Commissioner"
"esohealthwatch.gov.au","(VIC) Country Fire Authority"
"ewd.gov.au","Transport Certification Australia Limited"
"experiencepays.gov.au","Department of Employment"
"export.gov.au","Australian Trade Commission (Austrade)"
"exportawards.gov.au","Australian Trade Commission (Austrade)"
"exportfinance.gov.au","Export Finance and Insurance Corporation"
"fahcsia.gov.au","Department of Social Services"
"fairwork.gov.au","Department of Employment"
"families.gov.au","Department of Social Services"
"familyassist.gov.au","Department of Human Services"
"familycourt.gov.au","Family Court and Federal Circuit Court"
"familylawcourts.gov.au","Family Court and Federal Circuit Court"
"familyrelationships.gov.au","Department of Social Services"
"farmdiversity.gov.au","Rural Industries Research and Development Corporation"
"fca.gov.au","Federal Court of Australia"
"fed.gov.au","Department of Finance"
"fedcourt.gov.au","Federal Court of Australia"
"federalcircuitcourt.gov.au","Family Court and Federal Circuit Court"
"federalcourt.gov.au","Federal Court of Australia"
"federalfinancialrelations.gov.au","Department of the Treasury"
"fedlaw.gov.au","Office of Parliamentary Counsel"
"fedlink.gov.au","Department of Finance"
"ffc.gov.au","Screen Australia"
"fido.gov.au","Australian Securities and Investments Commission"
"finance.gov.au","Department of Finance"
"financeminister.gov.au","Department of Finance"
"financialliteracy.gov.au","Australian Securities and Investments Commission"
"findandconnect.gov.au","Department of Social Services"
"firb.gov.au","Department of the Treasury"
"firsthome.gov.au","(VIC) State Revenue Office Victoria"
"fish.gov.au","Fisheries Research and Development Corporation"
"fisheries.gov.au","Department of Agriculture"
"fisheriesresearch.gov.au","Fisheries Research and Development Corporation"
"fishnet.gov.au","Fisheries Research and Development Corporation"
"flb.gov.au","Australian Securities and Investments Commission"
"floodready.gov.au","(QLD) Sunshine Coast Regional Council"
"flupandemic.gov.au","Department of Health"
"fms.gov.au","Department of Social Services"
"foodhealthdialogue.gov.au","Department of Health and Ageing"
"foodlabellingreview.gov.au","Department of Health"
"foodregulation.gov.au","Department of Health and Ageing"
"foodstandards.gov.au","Foodstandards Australia New Zealand"
"foodsystemsinnovation.gov.au","Australian Centre for International Agricultural Research"
"forcenet.gov.au","Department of Defence"
"foreignaffairs.gov.au","Department of Foreign Affairs and Trade"
"foreignminister.gov.au","Department of Foreign Affairs and Trade"
"forests.gov.au","Department of Agriculture"
"forgottenaustralianshistory.gov.au","National Museum of Australia"
"foundingdocs.gov.au","Old Parliament House"
"fpdt.gov.au","Federal Court of Australia"
"frc.gov.au","Department of the Treasury"
"frdc.gov.au","Fisheries Research and Development Corporation"
"frli.gov.au","Office of Parliamentary Counsel"
"fsc.gov.au","Department of Employment"
"fsi.gov.au","Department of the Treasury"
"fta.gov.au","Department of Foreign Affairs and Trade"
"futurefund.gov.au","Future Fund Management Agency"
"fwa.gov.au","Fair Work Commission"
"fwbc.gov.au","Department of Employment"
"fwbii.gov.au","Department of Employment"
"fwc.gov.au","Fair Work Commission"
"fwo.gov.au","Department of Employment"
"ga.gov.au","Geoscience Australia"
"gabcc.gov.au","Department of the Environment"
